### pinalt(ium).AD2Q generator version: 0.0.1###
To,Assignment Name,Value
pin_imp_tx_T1,I/O Standard,3.3-V LVCMOS
ADC13_SDI,Location,PIN_132
ADC13_SDI,I/O Standard,3.3-V LVCMOS
ADC13_nCS,Location,PIN_133
ADC13_nCS,I/O Standard,3.3-V LVCMOS
ADC13_CONVST,Location,PIN_135
ADC13_CONVST,I/O Standard,3.3-V LVCMOS
intf_fmc.CLK,Location,PIN_136
intf_fmc.CLK,I/O Standard,3.3-V LVCMOS
ADC13_nPD_RST,Location,PIN_137
ADC13_nPD_RST,I/O Standard,3.3-V LVCMOS
intf_fmc.AD[14],Location,PIN_141
intf_fmc.AD[14],I/O Standard,3.3-V LVCMOS
ADC13_READY,Location,PIN_142
ADC13_READY,I/O Standard,3.3-V LVCMOS
intf_fmc.AD[12],Location,PIN_143
intf_fmc.AD[12],I/O Standard,3.3-V LVCMOS
intf_fmc.AD[13],Location,PIN_144
intf_fmc.AD[13],I/O Standard,3.3-V LVCMOS
